Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	38	26.38888888888889	1.956609175453134e-09	1645_AT, 34623_AT, 1372_AT, 35091_AT, 36766_AT, 31525_S_AT, 37898_R_AT, 35090_G_AT, 31506_S_AT, 2090_I_AT, 33684_AT, 1855_AT, 38691_S_AT, 38646_S_AT, 1890_AT, 34012_AT, 37454_AT, 33979_AT, 34546_AT, 37061_AT, 35367_AT, 35915_AT, 38604_AT, 32250_AT, 37172_AT, 34618_AT, 37105_AT, 36436_AT, 33530_AT, 37905_R_AT, 37096_AT, 31512_AT, 1403_S_AT, 679_AT, 33963_AT, 1786_AT, 35169_AT, 36703_AT, 31687_F_AT, 31793_AT, 33284_AT	137	1931	20521	2.947672814282528	4.578464503079971e-07	4.578465470560334e-07	4.480635011787677e-05
GOTERM_CC_DIRECT	GO:0005576~extracellular region	38	26.38888888888889	4.548707285281044e-08	1645_AT, 34623_AT, 1372_AT, 35091_AT, 36766_AT, 31525_S_AT, 37898_R_AT, 35090_G_AT, 31506_S_AT, 2090_I_AT, 33684_AT, 1855_AT, 38691_S_AT, 1890_AT, 37454_AT, 36328_AT, 36479_AT, 33979_AT, 34546_AT, 1112_G_AT, 37061_AT, 35367_AT, 35915_AT, 38604_AT, 32250_AT, 34703_F_AT, 37172_AT, 35956_S_AT, 1331_S_AT, 37105_AT, 37096_AT, 40350_AT, 1403_S_AT, 679_AT, 33963_AT, 31621_S_AT, 35169_AT, 36703_AT, 31687_F_AT, 31793_AT, 33284_AT	137	2172	20521	2.620605987283408	1.06439186505769e-05	5.321987523778821e-06	0.0005208269841646795
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	35	24.305555555555554	2.5051259868565866e-06	1645_AT, 34623_AT, 1372_AT, 35091_AT, 37898_R_AT, 35090_G_AT, 31506_S_AT, 2090_I_AT, 33684_AT, 1855_AT, 38691_S_AT, 38646_S_AT, 1890_AT, 37454_AT, 36328_AT, 33979_AT, 34546_AT, 1112_G_AT, 37061_AT, 35367_AT, 35915_AT, 38604_AT, 32250_AT, 34703_F_AT, 37172_AT, 34618_AT, 35956_S_AT, 1331_S_AT, 37105_AT, 36436_AT, 40350_AT, 31512_AT, 1403_S_AT, 679_AT, 31621_S_AT, 35169_AT, 36703_AT, 31793_AT	124	2174	17910	2.325318277591477	9.268548204943716e-05	9.268966151369371e-05	0.00926896615136937
GOTERM_BP_DIRECT	GO:0002227~innate immune response in mucosa	6	4.166666666666666	5.320246011016406e-06	34623_AT, 36766_AT, 33979_AT, 1419_G_AT, 31506_S_AT, 34546_AT, 31793_AT	134	37	19256	23.302944735780557	0.0065278407296744945	0.006549222839561195	0.6480059641417982
GOTERM_BP_DIRECT	GO:0050829~defense response to Gram-negative bacterium	7	4.861111111111112	2.8986425111002796e-05	34623_AT, 679_AT, 33963_AT, 33979_AT, 1419_G_AT, 31506_S_AT, 34546_AT, 31793_AT, 37105_AT	134	86	19256	11.696633113502255	0.03505368032730094	0.017841144655822223	1.7652732892600702
GOTERM_CC_DIRECT	GO:0035578~azurophil granule lumen	7	4.861111111111112	3.185847854259335e-05	37096_AT, 679_AT, 33963_AT, 36766_AT, 33979_AT, 31506_S_AT, 31793_AT, 33284_AT, 37105_AT	137	91	20521	11.522178551375632	0.007427283125271744	0.002484961326322281	0.24318638620846253
UP_KW_DOMAIN	KW-0732~Signal	51	35.41666666666667	6.896154215101446e-05	1645_AT, 34623_AT, 1372_AT, 36766_AT, 35090_G_AT, 2090_I_AT, 37454_AT, 1901_S_AT, 34546_AT, 1112_G_AT, 37061_AT, 32250_AT, 34703_F_AT, 35956_S_AT, 38482_AT, 1331_S_AT, 37105_AT, 33530_AT, 37096_AT, 38236_AT, 37968_AT, 1403_S_AT, 33963_AT, 1786_AT, 31621_S_AT, 35169_AT, 37408_AT, 36703_AT, 38229_AT, 32469_AT, 31687_F_AT, 32073_AT, 35903_AT, 35091_AT, 37898_R_AT, 31506_S_AT, 33684_AT, 1855_AT, 1890_AT, 38646_S_AT, 36328_AT, 33979_AT, 35915_AT, 38604_AT, 1355_G_AT, 37172_AT, 34618_AT, 36436_AT, 40350_AT, 31512_AT, 679_AT, 31793_AT, 33284_AT, 35121_AT	104	4412	14600	1.6227596066671315	0.0014471941254197151	0.0014481923851713038	0.14481923851713038
GOTERM_BP_DIRECT	GO:0050832~defense response to fungus	5	3.4722222222222223	9.646027038726104e-05	34623_AT, 679_AT, 31506_S_AT, 34546_AT, 31793_AT, 33284_AT, 37105_AT	134	35	19256	20.52878464818763	0.11196872781570955	0.030734781794655237	3.0410206519813223
GOTERM_BP_DIRECT	GO:0019731~antibacterial humoral response	6	4.166666666666666	9.986931533600401e-05	34623_AT, 679_AT, 33963_AT, 33979_AT, 31506_S_AT, 34546_AT, 31793_AT, 37105_AT	134	67	19256	12.868790376475829	0.11568793727884807	0.030734781794655237	3.0410206519813223
GOTERM_BP_DIRECT	GO:0007165~signal transduction	22	15.277777777777779	0.00013297054832790765	37953_S_AT, 41489_AT, 35915_AT, 1372_AT, 919_AT, 35091_AT, 35956_S_AT, 35090_G_AT, 35373_AT, 32418_AT, 822_S_AT, 1331_S_AT, 1855_AT, 1890_AT, 38646_S_AT, 37905_R_AT, 37454_AT, 606_AT, 1901_S_AT, 1786_AT, 33080_S_AT, 39511_AT, 32469_AT	134	1251	19256	2.527124569001515	0.15100130410022983	0.03273734899833086	3.23916255726783
